time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-04 00:00:00+00:00,2,2,16,7
2024-08-05 00:00:00+00:00,2,2,11,11
2024-08-06 00:00:00+00:00,1,1,42,18
2024-08-07 00:00:00+00:00,1,1,28,18
2024-08-08 00:00:00+00:00,3,2,44,14
2024-08-09 00:00:00+00:00,0,0,13,9
2024-08-10 00:00:00+00:00,0,0,25,10
2024-08-11 00:00:00+00:00,5,4,34,19
2024-08-12 00:00:00+00:00,1,1,192,17
2024-08-13 00:00:00+00:00,0,0,54,16
2024-08-14 00:00:00+00:00,0,0,31,17
2024-08-15 00:00:00+00:00,0,0,32,10
2024-08-16 00:00:00+00:00,3,3,16,12
2024-08-17 00:00:00+00:00,1,1,10,8
2024-08-18 00:00:00+00:00,3,2,19,18
2024-08-19 00:00:00+00:00,1,1,39,14
2024-08-20 00:00:00+00:00,0,0,15,13
2024-08-21 00:00:00+00:00,0,0,15,11
2024-08-22 00:00:00+00:00,2,1,31,18
2024-08-23 00:00:00+00:00,1,1,28,11
2024-08-24 00:00:00+00:00,3,1,26,9
2024-08-25 00:00:00+00:00,4,3,8,8
2024-08-26 00:00:00+00:00,0,0,27,21
2024-08-27 00:00:00+00:00,1,1,24,16
2024-08-28 00:00:00+00:00,2,1,10,10
2024-08-29 00:00:00+00:00,2,1,16,14
2024-08-30 00:00:00+00:00,0,0,13,9
2024-08-31 00:00:00+00:00,4,2,13,9
2024-09-01 00:00:00+00:00,1,1,6,6
2024-09-02 00:00:00+00:00,1,1,39,16
2024-09-03 00:00:00+00:00,3,3,13,12
2024-09-04 00:00:00+00:00,2,1,71,13
2024-09-05 00:00:00+00:00,3,1,29,11
2024-09-06 00:00:00+00:00,1,1,99,15
2024-09-07 00:00:00+00:00,0,0,18,11
2024-09-08 00:00:00+00:00,1,1,14,13
2024-09-09 00:00:00+00:00,0,0,33,13
2024-09-10 00:00:00+00:00,4,2,90,15
2024-09-11 00:00:00+00:00,3,2,24,16
2024-09-12 00:00:00+00:00,0,0,17,14
2024-09-13 00:00:00+00:00,0,0,19,12
2024-09-14 00:00:00+00:00,0,0,43,11
2024-09-15 00:00:00+00:00,4,2,26,17
2024-09-16 00:00:00+00:00,2,2,22,13
2024-09-17 00:00:00+00:00,4,2,25,12
2024-09-18 00:00:00+00:00,1,1,25,15
2024-09-19 00:00:00+00:00,1,1,20,13
2024-09-20 00:00:00+00:00,1,1,26,16
2024-09-21 00:00:00+00:00,0,0,12,8
2024-09-22 00:00:00+00:00,2,2,6,6
2024-09-23 00:00:00+00:00,0,0,19,12
2024-09-24 00:00:00+00:00,1,1,15,11
2024-09-25 00:00:00+00:00,0,0,53,16
2024-09-26 00:00:00+00:00,0,0,39,14
2024-09-27 00:00:00+00:00,0,0,21,10
2024-09-28 00:00:00+00:00,1,1,41,15
2024-09-29 00:00:00+00:00,2,2,8,8
2024-09-30 00:00:00+00:00,0,0,17,12
